issuer_name,market_cap_usd,net_income_usd,hist_pe,hist_book_px,hist_fcf_yld,hist_ebitda_ev,hist_roe,hist_roic,hist_roa,hist_gross_profit_usd,hist_net_chg_lt_debt_usd,hist_net_debt_usd,hist_ev_usd,hist_asset_turnover,hist_capex_sales,hist_capex_depr,hist_rd_exp_usd,hist_eps_usd,return_usd,vola,beta,shares_outstanding,shares_float,top_1_shareholder_percentage,top_2_shareholder_percentage,top_3_shareholder_percentage,yeo_joh_market_cap_usd,yeo_joh_net_income_usd,yeo_joh_hist_pe,yeo_joh_hist_book_px,yeo_joh_hist_fcf_yld,yeo_joh_hist_ebitda_ev,yeo_joh_hist_roe,yeo_joh_hist_roic,yeo_joh_hist_roa,yeo_joh_hist_gross_profit_usd,yeo_joh_hist_net_chg_lt_debt_usd,yeo_joh_hist_net_debt_usd,yeo_joh_hist_ev_usd,yeo_joh_hist_asset_turnover,yeo_joh_hist_capex_sales,yeo_joh_hist_capex_depr,yeo_joh_hist_rd_exp_usd,yeo_joh_hist_eps_usd,yeo_joh_return_usd,yeo_joh_vola,yeo_joh_beta,yeo_joh_shares_outstanding,yeo_joh_shares_float,yeo_joh_top_1_shareholder_percentage,yeo_joh_top_2_shareholder_percentage,yeo_joh_top_3_shareholder_percentage,issuer_cntry_domicile_name,cntry_of_risk,gics_sector,gics_sub_ind,top_1_shareholder_location,top_2_shareholder_location,top_3_shareholder_location
ABBOTT LABORATORIES,197008000000.0,5723000000.0,32.62618352,5.925526022785311,-6.2525855982067045,-2.00214516315,10.115774373217144,6.049923178593582,3.5325726021269843,22134000000.0,179247243.2027513,4246963489.872263,44079953855.05767,0.6998413239417989,5.612589733868132,1.8303580760084035,2741000000.0,3.26,0.054409192,0.197279655,0.619837903,1736058536.0,1726594176,33.596,1.793,1.597,2.0450288069253517,0.8292815737326616,0.6300243848033028,1.000418706512736,-0.1841192992343408,-0.4442714806212011,-0.1010298803237215,0.014600847835459,-0.1324216378411898,1.3659951691086687,0.0713097901944622,-0.0086703748405781,0.0094569129771599,0.2952406871383334,0.2463045080896206,0.2637975889197567,1.3025286877397029,0.0002962177813285,0.0049113043925847,-0.9655143411112708,-0.521578507520373,1.0927258904741135,1.265467811207004,0.8622345555252156,-0.8612153563821393,-0.1446801294905794,United States of America,US,Health Care,Health Care Equipment,United States,Luxembourg,United Kingdom
ABBVIE INC.,291172000000.0,6514000000.0,19.44066936,24.2455611,7.301939832,7.04032316,46.06949587,15.02369555,4.693996671,36257000000.0,-4768000000.0,47456000000.0,338663000000.0,0.397325128,1.423700533,1.031537451,7538000000.0,3.65,0.177928142,0.192912821,0.168952382,1765537421.0,1763231488,32.15,1.663,1.441,2.31305888839331,0.9782848100377188,0.0694528917679759,1.8787796808034023,0.1315877117058419,-0.1084745215176021,0.7568638096572166,0.1094495424100458,-0.0084633273290573,2.495467313986131,-3.2565435290102624,0.326590751734516,1.7054936164131669,-0.434800408501626,-0.9871465037060972,-0.7216002066525667,1.7589670920078264,0.0011469621003409,0.3733653761862979,-1.03460548734646,-1.7936979137948723,1.1043270898373072,1.2807474667500147,0.793380091728085,-0.9331481169492872,-0.2941192483382529,United States of America,US,Health Care,Biotechnology,United States,Luxembourg,Ireland
ABC-MARTINC.,4274404440.0,282189237.6,15.88696084,1.919075557,4.914394258624999,12.42498925,12.52370649,11.81229057,10.63984515,1232212715.0,0.0,-999507327.0,3289909188.0,0.902493093,4.904935251239669,1.5663167668983051,0.0,1.139657723,-0.00949304,0.257527853,0.654247309,247618938.0,92727440,8.235,5.495,0.721,-0.6270320502190123,-0.2156270710290443,-0.1674899147998877,-0.1525811000423769,0.0523424292312688,0.1183901808547479,-0.0429334799955212,0.0770303259256131,0.624390712381757,-0.4603855670478698,0.0414841907128468,-0.0566714673931287,-0.229265587284325,0.6729076240734775,0.1178898412136928,0.0043631739527062,-1.6387458146997609,-0.0047345212036777,-0.2017602014780738,-0.1468791119963776,-0.4442634561798086,-0.2034228352434288,-0.6709665188614397,-0.910047312616805,0.4160845435383778,-1.1672484752532133,Japan,JP,Consumer Discretionary,Apparel Retail,Japan,United States,Norway
ABERCROMBIE & FITCH CO.,5327359197.0,208009000.0,25.16323725,6.150366571,8.162257989,12.70397701,27.50825047,10.84678739,7.439999714,2448128000.0,-98088000.0,452492000.0,5789856197.0,1.440573427,4.380045208,1.5663167668983051,0.0,4.15,2.830735774,0.546664055,1.191987852,50405518.0,49105456,50.662,1.244,0.97,-0.4712378243486392,-0.2305841080969145,0.3572934832358659,1.0320122771140736,0.161524729346101,0.1304076567554871,0.3159952080388217,0.0670053576122761,0.2841112272971652,-0.339185113145977,-0.0174497113134045,-0.0390627089302435,-0.2144661449008993,1.412309137760541,0.0103332074205808,0.0043631739527062,-1.6387458146997609,0.0022133285360378,4.480328593787075,1.7805148923671237,0.5403829808777678,-1.1983504629891144,-1.0453492163125833,1.553457760649542,-1.1913302393586231,-0.8235265743484786,United States of America,US,Consumer Discretionary,Apparel Retail,United States,Norway,Ireland
ABRDN PLC,3929697847.0,-501107543.3,8.589811621,0.597262464,2.250872372,5.8362933334500005,-6.73030254,-5.666346385,-4.236468252,1783991038.0,-113213100.0,796021600.0,4734620647.0,0.159885941,1.146496815,1.644917489,0.0,-0.247862728,-0.114580724,0.330982998,1.643155736,1840740364.0,1839375360,9.029,5.939,3.685,-0.686589364704881,-0.5007041789405149,-0.949644848539192,-1.4318450860561407,-0.0275769797261899,-0.1575794895692462,-0.5195463347509882,-0.1813706423885473,-0.969604011749742,-0.4045724331073809,-0.0268919534076249,-0.0362669516270814,-0.2207054241344755,-1.2245865193161585,-1.1517879237559674,0.0868720006702609,-1.6387458146997609,-0.0087321699426069,-0.5685616883344617,0.5857040611776,1.1457493674497172,1.1330969015901866,1.311576124852379,-0.8185879017688267,0.5164610323002412,1.2026676866886177,United Kingdom,GB,Financials,Asset Management & Custody Banks,United States,United Kingdom,Luxembourg
ACCENTURE PUBLIC LIMITED COMPANY,247736000000.0,6880051000.0,30.3232245,8.731209904,3.693217663,4.606593009,27.71344319,26.07916673,13.94881157,20993406000.0,-290979000.0,-4065216000.0,244479000000.0,1.309480515,0.771463898,0.817038476,1438851790.7003334,10.92,0.374343535,0.212048918,1.188476477,666511551.0,665985664,30.023,2.737,2.091,2.2023221861166737,1.047106737710794,0.5548764767177194,1.3057235287235964,0.0143893620198632,-0.2069219671931346,0.3208873893896704,0.2133713250655134,0.975737875041976,1.2726346784484588,-0.140375692057081,-0.1002510524905398,1.1654858884461727,1.2590155495598012,-1.419406481400899,-1.1294354027724938,1.0427531397509089,0.0149721805335167,0.8911504074879341,-0.7424498894719858,0.5350324525206832,0.4443993135890899,0.5937472186504735,0.6881566906033713,-0.4213076205090544,0.2670850111287356,Ireland,IE,Information Technology,IT Consulting & Other Services,United States,United Kingdom,Ireland
ACCOR SA,10104215038.0,647269995.4,18.53352888,1.923708228,2.46122227,8.592380951,12.7884118,6.766598023,5.489429739,5025245045.0,56366100.0,1860427200.0,12391536038.0,0.435334873,4.876555805,1.943089431,1193358943.1260731,2.459292921,0.283354719,0.221676413,1.206280372,252289352.0,211196656,16.334,3.073,2.643,-0.0199085498150073,-0.1429670684856466,0.0142907735430509,-0.1498264554560188,-0.0216798557842964,-0.0441918666960171,-0.0365563121157431,0.0227667829710155,0.0763519857165439,-0.0963152763199514,0.0512650140275223,-0.0276894820775243,-0.1755893986913528,-0.3289934937145126,0.1123668946435618,0.3607122234826351,0.971502240087865,-0.0015117125780431,0.6604705413223494,-0.6053952925417162,0.5620440948502358,-0.1914069994662547,-0.162612901927679,-0.1514838008961402,-0.2910707909702135,0.6446348532987335,France,FR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",United States,United Kingdom,Luxembourg
ACKERMANS & VAN HAAREN NV,5642153526.0,629450170.6,15.77117227,1.083342924,13.83640419,10.226888361378572,13.41890223,6.328402474,3.307170037,3351945996.4182982,5631356.2,209481482.4,7397151059.0,0.255431899,10.90971254,1.4571797651261262,270741179.5179233,19.01036061,-0.007657161,0.157105813,0.81406683,33496904.0,22442926,6.532,1.79,1.446,-0.4306656282831325,-0.146487903751712,-0.1762673456142137,-0.8069743180693888,0.3733431103732875,0.0245364494490531,-0.0213736886670917,0.01779108878027,-0.1564974395356717,-0.2523997863895403,0.0425464974971742,-0.0410574967562956,-0.2049790741496413,-0.8766669140056689,0.8740177344623953,-0.1187289755975022,0.4661915567640387,0.0280491288235334,-0.1956523013689295,-1.6612275405542594,-0.1113849151390939,-1.4448410399727925,-1.4856989216845635,-1.1266742811719572,-0.8628375189603162,-0.2891580251367948,Belgium,BE,Industrials,Construction & Engineering,United States,Luxembourg,Norway
ACS Actividades de Construccion y Servicios S.A.,11053356794.0,757480804.2,28.30032138171111,1.909550748,8.322641566,10.83076732,12.94481833,3.403936693,1.952609412,3351945996.4182982,497217700.0,2221813000.0,14079826394.0,0.951246902,1.016290472,0.778661146,270741179.5179233,2.824458982,0.420541104,0.190914181,0.812155168,278164594.0,220335488,8.706,2.28,1.731,0.043214933278717,-0.1212350882141626,0.4827679790126249,-0.1582672707470642,0.167178198734016,0.0501671212197004,-0.032789045035411,-0.0170560731330045,-0.3013399052622919,-0.2523997863895403,0.1212128602347375,-0.0247949580164366,-0.16567750068043,0.7538555820499204,-1.2380027910915363,-1.2125088319871766,0.4661915567640387,-0.0006760940718382,1.00289167762604,-1.066724771521257,-0.1151328872923034,-0.1284920900903556,-0.1357069044448819,-0.8551574177754455,-0.6184837590359904,-0.0244646905296112,Spain,ES,Industrials,Construction & Engineering,United States,Luxembourg,Ireland
ACTIVISION BLIZZARD INC.,73824522702.0731,2165000000.0,241.17591134552745,13.153208691802886,2.38460141899061,5.208276138119266,11.09090443,8.207759534,8.091642996,6127000000.0,3000000.0,-9472000000.0,75550253114.73409,0.32538496,1.137146795,1.253164557,1570000000.0,2.77,0.25641466,0.25224725,0.657436824,992781326.6891892,854526214,0.0,0.0,0.0,1.3679710840801975,0.1522866283706699,2.2159253354778365,1.5732589289698535,-0.0238375621972407,-0.1828899921299674,-0.0774834026614454,0.0387883606209365,0.3534578905294274,0.0041033632969507,0.0420631877122608,-0.1781660046672658,0.1921088243169399,-0.6489022189394784,-1.157771461401793,-0.3799654355521144,1.0765995832908015,-0.0007994697292763,0.5892511369492935,-0.2096506354797462,-0.4372056094163679,0.7115746051241026,0.76551593832357,-2.6910037869194268,-2.4064541208611607,-2.630354321380385,United States of America,US,Information Technology,Systems Software,Andorra,Romania,Namibia
ACUITY BRANDS INC.,7487855616.0,371700000.0,19.13596149,3.635615296,6.85754595,7.762361041,18.73676782,13.85293389,10.77313238,1725100000.0,7000000.0,71700000.0,7559555616.0,1.127164698,1.622525071,1.513189448,270741179.5179233,11.82,0.317359589,0.299526223,1.190505626,30816757.0,30714768,49.326,4.605,1.572,-0.2309224666272366,-0.1976886817838228,0.0512803023943966,0.5430517649253936,0.1163921566499412,-0.0786976424978943,0.1063465865111624,0.0977817400416502,0.6385527240800143,-0.4104553592697545,0.042794302992529,-0.0422017915199508,-0.2040214235059466,1.0197760897002657,-0.882147741886227,-0.0542549623772942,0.4661915567640387,0.0165128505997609,0.7484090981543694,0.3014648623010519,0.5381258045773811,-1.4947061354192264,-1.311927398496784,1.5057294151146727,0.1925281197360729,-0.1679112731530233,United States of America,US,Industrials,Electrical Components & Equipment,United States,Luxembourg,United Kingdom
ADIDAS AG,34966180440.0,-96015066.67,28.500451155818585,6.150214652,3.638721862,11.493229214771084,22.8600544683617,8.880101409511719,5.360629665320313,6657983818.075641,611967400.0,4433239800.0,39825713640.0,0.988129887319066,4.904935251239669,1.5663167668983051,1193358943.1260731,6.56612192666279,0.223563497,0.322489647,1.711847181,180000000.0,159039728,19.066,8.222,4.136,0.8489840068933335,-0.3156020088278351,0.490182828994422,1.0319914815647937,0.0127433932234782,0.0784211129922604,0.2050329242127535,0.0461030521604519,0.0626223151944527,0.0519717671548929,0.138876753489098,-0.0071933513529637,-0.0152995524206315,0.8128725578133867,0.1178898412136928,0.0043631739527062,0.971502240087865,0.0070654267598786,0.5004594029720902,0.5128331859866996,1.22582344412399,-0.4072915069783979,-0.3408661784954745,0.0461504566180898,0.9487146162325072,1.400689054171078,Germany,DE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",United States,Luxembourg,Germany
ADIENT PUBLIC LIMITED COMPANY,3214591613.0,205000000.0,8.669341046,1.481584431,8.098206284,17.30869632,9.532666822,9.652351738,2.206436336,1033000000.0,493000000.0,1535000000.0,5124591613.0,1.656979873,1.636895096,0.868965517,362000000.0,2.17,-0.18581003,0.346739392,1.754724878,91245859.0,89658056,61.032,1.209,1.006,-0.8290236154303123,-0.2311929647909469,-0.9373039498280872,-0.4499822812559587,0.1592731489010139,0.3317047278801754,-0.1151239431347069,0.0543937121891036,-0.2741750271319147,-0.480991916114956,0.1205609792819139,-0.0303024142578449,-0.2183985176264223,1.6372566796068724,-0.8749243633438849,-1.0223320567659149,0.5573084424185109,-0.0021886458030265,-0.8363088584227379,0.7138963745450465,1.274447607106567,-0.833966283018852,-0.6911815586954788,1.897266567602316,-1.215023897147119,-0.7780578708106723,Ireland,US,Consumer Discretionary,Automotive Parts & Equipment,United States,Japan,United Kingdom
ADLINK TECHNOLOGY INC.,433737304.4,10968837.43,37.19146357,2.506353525,4.092642526,4.806200592,6.415341249,3.077769351,2.475827583,139443510.8,-12030825.44,98088536.05,533881169.3,0.856385983,1.770486498,0.874310319,53450980.92,0.050313424,0.108073549,0.329785213,0.457253662,217497257.0,80534040,3.101,0.14,0.073,-2.261735406475883,-0.2711627967569229,0.7611448248006217,0.1480045135446032,0.0265830591447062,-0.1989741754324572,-0.1906761542781633,-0.0211702973806276,-0.2453571337395552,-0.5793980730550082,0.0347854091564737,-0.0419812687412111,-0.2457012676282464,0.5930839116019518,-0.8099119598071433,-1.01163664144681,0.0183137460448962,-0.0077845624904696,0.1696696345956758,0.5755919802943005,-0.9189692992765014,-0.2866107610206032,-0.7553386602261821,-1.6998935823348131,-2.2098980463817863,-2.4327864462071656,Taiwan,TW,Information Technology,"Technology Hardware, Storage & Peripherals",United States,Ireland,Norway
ADMIRAL GROUP PLC,9710623991.0,417509313.7,21.86237721,8.174357721,1.615795697,5.8362933334500005,34.52535113,9.488464201,5.305860021,9672143655.485714,3568180.0,1026944160.0,10739094071.0,0.399500949,3.843353642,1.644917489,394648348.61,1.383933758,0.217193159,0.250245029,0.610355525,306304676.0,237330432,9.033,6.856,6.63,-0.0478575632213561,-0.1885451767514214,0.2025186559288878,1.257480609643982,-0.0448422061114545,-0.1575794895692462,0.4830360575480559,0.0526436906452081,0.0567835951733447,0.3185944734361393,0.0421685279270674,-0.0343973481870065,-0.1853008870102825,-0.4286136226218946,-0.1132290820305347,0.0868720006702609,0.5850939759919512,-0.0041086269208598,0.4829852744393358,-0.233859367602749,-0.5432705106334088,-0.066181027882554,-0.0883344224819584,-0.8181402489466273,0.7049881223562553,2.2191139554215216,United Kingdom,GB,Financials,Property & Casualty Insurance,United States,Canada,United Kingdom
ADOBE INC.,283838000000.0,5428000000.0,52.00797098,17.29760262,2.478613656,2.72747475,35.51310151,25.49667642,19.06434392,17055000000.0,-39000000.0,-3762000000.0,280076000000.0,0.681687272,1.854809624,1.531914894,3473000000.0,11.87,0.727918111,0.315591581,1.753969258,452000000.0,450910496,33.148,2.86,2.515,2.295581738348204,0.7736029931876335,1.0778172409613165,1.7228907929802484,-0.0211885860682831,-0.2803477394299439,0.5065096375308669,0.2081215018001483,1.5181026744026695,0.946996160815006,0.0188227259807222,-0.0959117547914877,1.369742796963454,0.2577067568017008,-0.7707463844319602,-0.0333204201039028,1.4037819202931754,0.0165976759282442,1.670314606743276,0.4515995881744667,1.2735994746674484,0.1875885497313821,0.3305406640573593,0.8411217550101279,-0.3723293778036812,0.5633415897744044,United States of America,US,Information Technology,Application Software,United States,Luxembourg,Ireland
ADVANCE AUTO PARTS INC.,4001508828.0,186077000.0,18.63774569,1.511282202,-0.134108603,15.43698226,6.939361466,3.220482894,1.526409221,4695402000.0,556140000.0,3678088000.0,7679596828.0,0.926662475,2.477151298,1.019383629,0.0,3.14,-0.540125748,0.515960808,1.674379594,59501990.0,58872712,60.885,0.831,0.699,-0.6737590696671844,-0.2350263892230286,0.0207936287623214,-0.4271266483998307,-0.0868077438451707,0.2492505566530228,-0.1779488196092331,-0.0193630153866406,-0.3469814066764511,-0.1267045864117622,0.1302995819772664,-0.0131866324986713,-0.2033136783169695,0.713466826058163,-0.5182383560798377,-0.7424485138239846,-1.6387458146997609,3.078522312903979e-05,-2.395412749871004,1.6667122493921476,1.182487237723185,-1.0972526812858252,-0.9400862101341904,1.892686486631296,-1.4977109083557312,-1.2003867500767356,United States of America,US,Consumer Discretionary,Automotive Retail,United States,Norway,Ireland
